Nov  5 2021 14:03:19,Pump Off Samples,N=15,,,
9,999.806274,999.783142,999.681641,999.884583,208
10,999.809204,999.782349,999.683044,999.886536,208
11,999.8078,999.782593,999.683594,999.885071,207
12,999.808777,999.784363,999.684143,999.886169,208
13,999.806946,999.782959,999.683838,999.885803,208
14,999.804199,999.783752,999.679199,999.88385,207
15,999.808655,999.776794,999.680054,999.882202,211
Nov  5 2021 14:12:51,flow rate=0.42,N=20,,,
n,In,Mid,Out,Ambient,t (ms)
1,999.889282,999.869324,999.859558,999.885986,10
2,999.890686,999.870544,999.863098,999.88623,177
3,999.893616,999.869141,999.859741,999.886719,207
4,999.891479,999.871582,999.860413,999.886719,207
5,999.893372,999.870239,999.859863,999.885071,207
6,999.892517,999.870239,999.860107,999.890259,208
7,999.892395,999.870361,999.861694,999.889282,207
8,999.892883,999.871094,999.863098,999.88916,207
9,999.891357,999.870911,999.862366,999.890991,211
10,999.893188,999.872742,999.861328,999.889221,204
11,999.895142,999.873108,999.861328,999.89093,207
12,999.891968,999.874817,999.859375,999.890076,207
13,999.892822,999.872498,999.863037,999.891479,208
14,999.893494,999.873291,999.862549,999.892761,207
15,999.895447,999.871399,999.863525,999.891968,207
16,999.895874,999.872986,999.859314,999.892822,207
17,999.895874,999.873962,999.86377,999.892395,208
18,999.893616,999.874939,999.863525,999.891235,207
19,999.894165,999.874756,999.864868,999.891724,207
20,999.893127,999.87146,999.865234,999.890808,208
mu,0.086731,0.088684,0.180237,0.002991,199.5
sd,0.001811,0.001142,0.001639,0.000366,15
Q,0.395399,,,,
,,,,,
,,,,,
Nov  5 2021 14:14:58,Pump Off Samples,N=15,,,
n,In,Mid,Out,Ambient,t (ms)
1,999.807739,999.780762,999.684998,999.884521,9
2,999.806335,999.782043,999.6828,999.88446,198
3,999.804626,999.779846,999.682129,999.884827,207
4,999.806885,999.781189,999.683533,999.886353,208
5,999.806885,999.781433,999.682007,999.884033,207
6,999.806702,999.780762,999.684387,999.883301,207
7,999.803345,999.780212,999.682434,999.884155,207
8,999.802002,999.778931,999.682556,999.881226,207
9,999.80365,999.779297,999.680908,999.883545,207
10,999.805237,999.779907,999.683655,999.885376,207
11,999.803345,999.778442,999.680298,999.881104,206
12,999.804321,999.777527,999.680908,999.881897,208
13,999.803589,999.777893,999.678833,999.879944,206
14,999.804871,999.77594,999.681091,999.881897,208
15,999.801941,999.775452,999.680786,999.882263,206
Nov  5 2021 14:14:58,flow rate=0.38,N=20,,,
n,In,Mid,Out,Ambient,t (ms)
1,999.870056,999.846497,999.824158,999.879456,10
2,999.872742,999.847046,999.825806,999.88147,179
3,999.873352,999.846924,999.823853,999.880371,207
4,999.875305,999.846924,999.826538,999.881348,207
5,999.875061,999.849548,999.828674,999.881409,207
6,999.876343,999.848511,999.826965,999.882751,207
7,999.876709,999.848572,999.82666,999.884705,207
8,999.877563,999.849121,999.828125,999.883545,207
9,999.87561,999.851196,999.829468,999.883606,207
10,999.877319,999.850769,999.828186,999.883606,207
11,999.877747,999.849548,999.827515,999.880371,207
12,999.874817,999.849365,999.830078,999.880249,207
13,999.875183,999.85022,999.827576,999.878845,207
14,999.876465,999.846069,999.825256,999.881226,207
15,999.876709,999.848572,999.828125,999.88147,208
16,999.873657,999.848511,999.82666,999.881165,207
17,999.875244,999.846802,999.828186,999.880005,207
18,999.876038,999.847839,999.828674,999.881897,207
19,999.872742,999.847473,999.825439,999.882507,207
20,999.875549,999.848755,999.828308,999.88031,207
mu,0.066467,0.065918,0.141724,-0.004333,200
sd,0.002168,0.000242,0.001292,0.000942,14
Q,0.359791,,,,
,,,,,
,,,,,
Nov  5 2021 14:18:23,Pump Off Samples,N=15,,,
n,In,Mid,Out,Ambient,t (ms)
1,999.798462,999.770264,999.674988,999.875732,9
2,999.798584,999.773499,999.673645,999.875183,136
3,999.798828,999.772339,999.671875,999.873657,207
4,999.796936,999.77124,999.673828,999.874084,207
5,999.799988,999.771973,999.672974,999.875549,212
6,999.797424,999.771423,999.674194,999.875366,202
7,999.796082,999.770386,999.674377,999.874512,208
8,999.798584,999.772888,999.673645,999.873291,207
9,999.797363,999.772583,999.673096,999.874207,207
10,999.796326,999.771667,999.673035,999.873962,207
11,999.796692,999.77002,999.673462,999.872864,208
12,999.796387,999.770569,999.671875,999.872864,207
13,999.797363,999.772278,999.673218,999.875549,207
14,999.795715,999.77124,999.672119,999.872803,207
15,999.795227,999.773071,999.670288,999.873108,211
Nov  5 2021 14:18:23,flow rate=0.33,N=20,,,
n,In,Mid,Out,Ambient,t (ms)
1,999.84436,999.820801,999.781738,999.861816,9
2,999.843445,999.817261,999.780945,999.862976,137
3,999.843689,999.817566,999.780457,999.862671,207
4,999.842407,999.817322,999.782166,999.862427,207
5,999.841187,999.8172,999.782959,999.861328,207
6,999.842896,999.818542,999.781067,999.862244,207
7,999.841492,999.819397,999.780518,999.862244,207
8,999.84021,999.81897,999.780334,999.863586,207
9,999.840027,999.817017,999.782471,999.862244,207
10,999.842102,999.8172,999.781738,999.862061,207
11,999.839539,999.815552,999.78064,999.860229,207
12,999.839294,999.816162,999.780762,999.858826,207
13,999.840149,999.814392,999.780762,999.859985,207
14,999.838379,999.813965,999.779114,999.857971,207
15,999.837036,999.810913,999.778137,999.857239,207
16,999.838135,999.812012,999.778442,999.858459,207
17,999.83728,999.812134,999.777161,999.859192,207
18,999.839478,999.809814,999.777649,999.858032,204
19,999.838806,999.811035,999.777893,999.858032,208
20,999.83667,999.810059,999.778381,999.859985,207
mu,0.045288,0.046448,0.107788,-0.012207,189.5
sd,0.000811,0.001714,0.000771,0.000495,35
Q,0.323648,,,,
,,,,,
,,,,,
Nov  5 2021 14:20:01,Pump Off Samples,N=15,,,
n,In,Mid,Out,Ambient,t (ms)
1,999.754639,999.729004,999.633179,999.832214,10
2,999.753113,999.728516,999.632324,999.830994,58
3,999.753113,999.724792,999.632324,999.831177,206
4,999.751404,999.726501,999.632507,999.831543,207
5,999.754211,999.727417,999.633667,999.832581,207
6,999.752502,999.729614,999.635315,999.833679,207
7,999.755676,999.730225,999.634766,999.83374,207
8,999.756042,999.729004,999.633423,999.833435,207
9,999.758179,999.727478,999.636963,999.835022,207
10,999.756409,999.728455,999.635498,999.835083,207
11,999.755859,999.728333,999.636963,999.835999,207
12,999.758118,999.72937,999.633545,999.834595,207
13,999.756653,999.72937,999.632813,999.834473,207
14,999.756104,999.72998,999.635864,999.833496,207
15,999.75647,999.731018,999.633667,999.833496,207
Nov  5 2021 14:20:01,flow rate=0.28,N=20,,,
n,In,Mid,Out,Ambient,t (ms)
1,999.787598,999.765259,999.718201,999.820374,9
2,999.788147,999.763489,999.717712,999.821228,127
3,999.788147,999.764709,999.715332,999.820129,208
4,999.790161,999.763611,999.714478,999.821045,207
5,999.787109,999.764893,999.715759,999.81897,208
6,999.788452,999.763611,999.716187,999.821533,208
7,999.787964,999.763733,999.716492,999.821228,207
8,999.789001,999.766663,999.71875,999.820496,208
9,999.789429,999.76709,999.717957,999.821411,211
10,999.790405,999.765564,999.717529,999.821533,204
11,999.788513,999.766479,999.716614,999.819397,207
12,999.789246,999.765625,999.717346,999.820618,208
13,999.790527,999.766174,999.717407,999.819763,208
14,999.790222,999.764893,999.717834,999.820313,207
15,999.789612,999.765076,999.715881,999.820251,208
16,999.790161,999.766235,999.71875,999.818848,207
17,999.788269,999.764893,999.71814,999.818665,208
18,999.788208,999.764893,999.719543,999.819092,207
19,999.790222,999.765015,999.718994,999.819275,208
20,999.791199,999.765137,999.718811,999.818298,208
mu,0.035339,0.037048,0.083801,-0.010803,187.5
sd,0.001131,0.00086,0.001807,0.000526,40.34
Q,0.282556,,,,
,,,,,
,,,,,
Nov  5 2021 14:22:03,Pump Off Samples,N=15,,,
n,In,Mid,Out,Ambient,t (ms)
1,999.753357,999.727783,999.63092,999.830078,9
2,999.754272,999.727783,999.630493,999.828491,194
3,999.753357,999.727112,999.629456,999.829163,207
4,999.75531,999.725342,999.631165,999.82843,207
5,999.753601,999.727173,999.629089,999.828613,207
6,999.755615,999.728271,999.629395,999.830383,207
7,999.755066,999.731018,999.630676,999.830872,207
8,999.755676,999.730103,999.62915,999.830444,207
9,999.753906,999.728821,999.631348,999.827942,110
10,999.753662,999.727905,999.62915,999.82959,207
11,999.752441,999.726013,999.627686,999.827637,207
12,999.751038,999.722046,999.626404,999.826782,207
13,999.747742,999.720459,999.62323,999.822205,208
14,999.746643,999.721619,999.621643,999.822571,207
15,999.747681,999.722656,999.623779,999.822876,211
Nov  5 2021 14:22:03,flow rate=0.24,N=20,,,
n,In,Mid,Out,Ambient,t (ms)
1,999.783386,999.762512,999.704346,999.822632,9
2,999.785156,999.763367,999.707031,999.823914,186
3,999.786194,999.764465,999.706848,999.825439,208
